Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1964,8.04,8.04,8.04,8.10,8.10,8.11,8.12,8.14,8.18,8.15,8.18,8.22
1965,8.22,8.25,8.25,8.23,8.29,8.27,8.27,8.27,8.33,8.37,8.37,8.34
1966,8.41,8.35,8.33,8.34,8.37,8.37,8.38,8.30,8.42,8.40,8.40,8.40
1967,8.46,8.49,8.46,8.47,8.47,8.51,8.51,8.49,8.55,8.55,8.56,8.53
1968,8.63,8.63,8.58,8.61,8.65,8.62,8.63,8.61,8.73,8.70,8.71,8.71
1969,8.72,8.72,8.68,8.68,8.72,8.72,8.70,8.68,8.79,8.77,8.75,8.71
1970,8.74,8.72,8.72,8.68,8.71,8.69,8.70,8.75,8.81,8.74,8.72,8.75
1971,8.83,8.85,8.83,8.86,8.89,8.87,8.88,8.90,9.00,8.98,8.98,9.03
1972,9.20,9.18,9.23,9.26,9.26,9.24,9.24,9.27,9.36,9.39,9.37,9.37
1973,9.39,9.35,9.29,9.29,9.30,9.28,9.33,9.14,9.30,9.22,9.18,9.16
1974,9.10,9.03,8.98,8.96,9.00,8.99,8.93,8.89,8.96,8.91,8.84,8.81
1975,8.82,8.77,8.77,8.76,8.75,8.74,8.68,8.68,8.78,8.75,8.74,8.73
1976,8.77,8.79,8.79,8.80,8.82,8.79,8.80,8.80,8.93,8.90,8.94,8.94
1977,8.95,8.89,8.88,8.87,8.89,8.87,8.87,8.85,8.96,9.01,8.99,8.96
1978,9.03,9.02,8.98,8.99,8.95,8.90,8.91,8.87,8.98,8.96,8.95,8.94
1979,8.95,8.91,8.83,8.73,8.71,8.64,8.60,8.53,8.62,8.56,8.53,8.50
1980,8.43,8.36,8.31,8.26,8.20,8.16,8.20,8.19,8.24,8.24,8.25,8.19
1981,8.24,8.19,8.18,8.17,8.15,8.11,8.06,8.05,8.08,8.09,8.13,8.08
1982,8.18,8.15,8.16,8.16,8.14,8.04,8.03,8.02,8.09,8.09,8.13,8.17
1983,8.26,8.27,8.22,8.21,8.20,8.18,8.18,8.10,8.21,8.23,8.23,8.24
1984,8.29,8.25,8.26,8.28,8.22,8.22,8.21,8.11,8.19,8.17,8.20,8.23
1985,8.25,8.24,8.19,8.17,8.13,8.13,8.11,8.10,8.20,8.16,8.15,8.18
1986,8.15,8.21,8.25,8.26,8.23,8.19,8.17,8.16,8.22,8.23,8.27,8.25
1987,8.24,8.22,8.18,8.14,8.13,8.07,8.04,8.03,8.09,8.10,8.13,8.13
1988,8.15,8.12,8.09,8.10,8.09,8.03,8.01,7.97,8.05,8.07,8.07,8.06
1989,8.10,8.07,8.04,8.01,7.94,7.92,7.94,7.91,8.02,8.01,8.01,8.02
1990,7.97,7.97,7.95,7.97,7.96,7.92,7.92,7.84,7.88,7.82,7.81,7.84
1991,7.83,7.83,7.82,7.85,7.83,7.82,7.81,7.79,7.86,7.84,7.82,7.85
1992,7.85,7.84,7.82,7.81,7.80,7.76,7.75,7.74,7.80,7.79,7.80,7.80
1993,7.82,7.79,7.78,7.77,7.77,7.73,7.73,7.73,7.80,7.78,7.79,7.81
1994,7.85,7.83,7.79,7.80,7.81,7.74,7.73,7.69,7.77,7.80,7.79,7.81
1995,7.82,7.79,7.77,7.77,7.74,7.71,7.75,7.72,7.81,7.81,7.81,7.83
1996,7.85,7.82,7.78,7.79,7.76,7.78,7.76,7.77,7.86,7.83,7.84,7.88
1997,7.90,7.88,7.89,7.89,7.89,7.89,7.88,7.91,7.98,8.00,8.05,8.07
1998,8.11,8.13,8.13,8.13,8.11,8.08,8.08,8.13,8.20,8.19,8.23,8.23
1999,8.28,8.27,8.26,8.24,8.26,8.22,8.22,8.22,8.28,8.28,8.28,8.31
2000,8.35,8.30,8.24,8.31,8.27,8.22,8.25,8.25,8.31,8.34,8.34,8.38
2001,8.36,8.35,8.35,8.36,8.30,8.28,8.34,8.34,8.40,8.43,8.48,8.56
2002,8.56,8.53,8.48,8.45,8.44,8.47,8.44,8.45,8.54,8.53,8.55,8.62
2003,8.59,8.57,8.50,8.50,8.52,8.53,8.52,8.50,8.54,8.54,8.62,8.61
2004,8.61,8.58,8.51,8.50,8.47,8.40,8.44,8.47,8.52,8.49,8.49,8.54
2005,8.59,8.52,8.47,8.42,8.45,8.41,8.41,8.37,8.32,8.38,8.43,8.50
2006,8.52,8.51,8.47,8.47,8.38,8.37,8.40,8.38,8.52,8.63,8.62,8.65
2007,8.68,8.66,8.59,8.58,8.49,8.49,8.56,8.57,8.65,8.61,8.56,8.62
2008,8.60,8.61,8.58,8.51,8.42,8.35,8.32,8.40,8.48,8.60,8.86,8.97
2009,8.97,8.97,8.97,8.91,8.85,8.74,8.78,8.81,8.85,8.86,8.90,8.89
2010,8.92,8.93,8.86,8.87,8.89,8.83,8.85,8.89,8.92,8.95,8.95,8.92
2011,9.00,8.90,8.78,8.74,8.71,8.66,8.70,8.66,8.72,8.81,8.77,8.80
2012,8.85,8.76,8.68,8.72,8.66,8.66,8.74,8.63,8.70,8.69,8.75,8.83
2013,8.85,8.78,8.73,8.77,8.71,8.72,8.71,8.69,8.81,8.81,8.86,8.90
2014,8.91,8.95,8.86,8.81,8.74,8.75,8.75,8.76,8.82,8.88,9.00,8.99
2015,9.16,9.15,9.10,9.05,8.99,8.92,8.95,9.01,9.06,9.11,9.18,9.18
2016,9.27,9.27,9.22,9.21,9.18,9.08,9.15,9.13,9.19,9.25,9.22,9.22
2017,9.29,9.23,9.21,9.26,9.18,9.15,9.24,9.17,9.21,9.26,9.22,9.25
2018,9.28,9.24,9.24,9.29,9.18,9.14,9.21,9.19,9.32,9.27,9.34,9.47
2019,9.47,9.44,9.41,9.38,9.35,9.37,9.36,9.39,9.51,9.47,9.49,9.55
2020,9.54,9.59,9.64,10.09,9.99,9.79,9.71,9.76,9.75,9.76,,
